RING NO.,SPECIES,HISTORY,SEX,BILL,HEAD,TARSUS,WING,WEIGHT,DATE,TIME,LOCATION,YEAR
AA0279,M. barbatus,0,3,,,,70,13.6,28-Jul,9,Sacha Huasi,2004
B0085,P. pyrrhodes,0,5,,,,81,28.5,28-Jul,9,Sacha Huasi,2004
B0087,T. aethiops,0,3,,,,65,19.6,28-Jul,9,Sacha Huasi,2004
B0090,H. subulatus,0,5,,,,83,29.4,28-Jul,10,Sacha Huasi,2004
YY,P. malaris,0,5,,,,58,7.1,28-Jul,10,Sacha Huasi,2004
B0088,P. pyrrhodes,0,5,,,,88,29.6,28-Jul,10,Sacha Huasi,2004
B0089,T. caesius,0,4,,,,71,18.6,28-Jul,10,Sacha Huasi,2004
A0307,T. surinamus,0,4,,,,78,19.1,28-Jul,10,Sacha Huasi,2004
A0308,P. filicauda,0,1,,,,63,15.1,28-Jul,11,Sacha Huasi,2004
B0092,D. fuliginosa,0,5,,,,110,40.2,29-Jul,6,Sacha Huasi,2004
AA0282,G. spirurus,0,5,,,,67,15,29-Jul,6,Sacha Huasi,2004
AA0284,G. spirurus,0,5,,,,70,13.4,29-Jul,6,Sacha Huasi,2004
AA0285,G. spirurus,0,5,,,,65,12.5,29-Jul,6,Sacha Huasi,2004
A0309,H. poecilinota,0,3,,,,71,16.5,29-Jul,6,Sacha Huasi,2004
AA0283,L. coronata,0,4,,,,60,9.5,29-Jul,6,Sacha Huasi,2004
B0091,L. fulvus,0,4,,,,81,26.6,29-Jul,6,Sacha Huasi,2004
AA0281,M. erythrura,0,3,,,,54,10,29-Jul,6,Sacha Huasi,2004
AA0288,G. spirurus,0,5,,,,75,15.5,29-Jul,7,Sacha Huasi,2004
AA0287,H. cantator,0,3,,,,55,13.2,29-Jul,7,Sacha Huasi,2004
AA0286,L. coronata,0,3,,,,61,8,29-Jul,7,Sacha Huasi,2004
AA0289,L. coronata,0,4,,,,57,9.1,29-Jul,7,Sacha Huasi,2004
AA0290,L. coronata,0,3,,,,59,8.5,29-Jul,8,Sacha Huasi,2004
A0310,P. erythrocephala,0,3,,,,59,11.5,29-Jul,8,Sacha Huasi,2004
A0311,P. erythrocephala,0,4,,,,60,13.5,29-Jul,8,Sacha Huasi,2004
B0093,H. subulatus,0,5,,,,80,27.2,29-Jul,9,Sacha Huasi,2004
AA0292,L. coronata,0,3,,,,60,8.5,29-Jul,9,Sacha Huasi,2004
AA0293,M. olivaceus,0,5,,,,68,14.1,29-Jul,9,Sacha Huasi,2004
AA0291,M. regulus,0,4,,,,50,11,29-Jul,9,Sacha Huasi,2004
AA0254,L. coronata,0,4,9.9,26.2,12.4,55,10.1,29-Jul,10,Sacha Huasi,2004
B0094,C. cyanoides,0,4,,,,72,23,30-Jul,6,Sacha Huasi,2004
AA0295,G. spirurus,0,5,,,,62,10.9,30-Jul,6,Sacha Huasi,2004
B0096,H. ochrolaemus,0,3,,,,95,39.4,30-Jul,6,Sacha Huasi,2004
B0063,H. rubica,1,3,,,,,31.4,30-Jul,6,Sacha Huasi,2004
C1252,M. fusca,0,5,,,,88,48,30-Jul,6,Sacha Huasi,2004
AA0294,M. hauxwelli,0,4,,,,50,12.5,30-Jul,6,Sacha Huasi,2004
B0095,X. guttatus,0,5,,,,108,59.5,30-Jul,6,Sacha Huasi,2004
AA0245,G. spirurus,1,5,,,,,18.5,30-Jul,7,Sacha Huasi,2004
B0097,H. ochrolaemus,0,5,,,,91,36.8,30-Jul,7,Sacha Huasi,2004
AA0297,L. coronata,0,4,,,,54,9.5,30-Jul,7,Sacha Huasi,2004
AA0298,L. coronata,0,3,,,,61,8.5,30-Jul,7,Sacha Huasi,2004
AA0299,L. coronata,0,3,,,,61,7.5,30-Jul,7,Sacha Huasi,2004
